970912.00,1092.25,1110.75,1087.75,1093.00;
970915.00,1107.75,1114.00,1103.25,1105.50;
970916.00,1105.50,1134.25,1104.50,1130.25;
970917.00,1130.25,1136.75,1125.75,1130.25;
970918.00,1130.00,1144.75,1129.00,1132.25;
970919.00,1134.25,1137.50,1127.25,1135.25;
970922.00,1134.50,1146.25,1134.50,1140.25;
970923.00,1139.50,1141.50,1130.75,1136.75;
970924.00,1135.75,1144.75,1126.25,1127.75;
970925.00,1128.00,1131.75,1119.75,1121.00;
970926.00,1120.50,1130.75,1120.75,1127.75;
970929.00,1127.50,1138.75,1124.50,1136.25;
970930.00,1135.25,1139.50,1127.00,1129.00;
971001.00,1129.75,1140.75,1128.75,1137.50;
971002.00,1137.50,1143.75,1135.25,1143.00;
971003.00,1143.50,1159.75,1136.00,1149.50;
971006.00,1154.25,1158.00,1151.00,1155.00;
971007.00,1154.50,1166.50,1151.75,1163.75;
971008.00,1163.75,1166.00,1149.00,1156.25;
971009.00,1154.50,1157.50,1143.50,1152.25;
971010.00,1153.25,1155.25,1138.25,1151.00;
971013.00,1151.00,1156.00,1148.25,1150.75;
971014.00,1150.50,1155.75,1142.75,1151.50;
971015.00,1150.00,1151.00,1142.25,1147.75;
971016.00,1147.75,1155.50,1129.50,1133.50;
971017.00,1133.25,1134.25,1109.75,1124.00;
971020.00,1122.75,1137.25,1119.25,1136.50;
971021.00,1137.75,1154.75,1136.25,1153.25;
971022.00,1153.25,1154.75,1144.75,1148.25;
971023.00,1147.25,1148.50,1121.75,1130.25;
971024.00,1130.25,1143.25,1115.75,1117.75;
971027.00,1116.75,1118.25,1048.25,1048.25;
971028.00,1036.25,1107.25,1018.25,1098.75;
971029.00,1098.25,1116.25,1090.50,1099.25;
971030.00,1098.75,1102.75,1076.25,1076.50;
971031.00,1076.25,1100.50,1064.00,1098.00;
971103.00,1098.00,1122.25,1095.50,1121.00;
971104.00,1120.25,1121.00,1110.50,1116.75;
971105.00,1115.75,1130.25,1112.50,1121.25;
971106.00,1120.75,1121.75,1111.50,1116.25;
971107.00,1104.25,1117.25,1090.75,1108.50;
971110.00,1104.25,1114.75,1097.00,1100.25;
971111.00,1100.25,1107.00,1096.75,1101.00;
971112.00,1100.75,1103.75,1079.75,1083.00;
971113.00,1081.25,1096.75,1076.75,1094.25;
971114.00,1094.25,1109.00,1089.25,1107.00;
971117.00,1106.25,1128.75,1106.25,1124.50;
971118.00,1124.25,1128.75,1114.25,1117.00;
971119.00,1116.50,1125.75,1110.50,1122.00;
